exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,has_elevator,has_balcony,latitude,longitude,main_neighborhood,sub_neighborhood,date,year,month,season,rooms_per_sqm,is_central,seasonal_price_trend,price_change_pct,monthly_price_change,location_avg_price_per_sqm,location_avg_price_per_sqm_sub,months_since_sale,predicted_ending_price
Bergsrådsvägen 12,2650000.0,53.0,2.0,3.0,3734.0,50000.0,False,False,,,bagarmossen,central,2024-09-17 07:17:05.119757,2024,9,4,0.03773584905660377,0,5423264.851586489,,-0.36492890995260663,58966.89497716895,80164.38654110392,0,2962319.8015873013
Banérgatan 23,13950000.0,112.0,4.0,7.0,3209.0,124554.0,True,True,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,12708488.92857143
Perstorpsvägen,3295000.0,63.0,3.0,1.0,5029.0,52302.0,True,False,,,farsta,central,2024-09-17 07:17:05.119757,2024,9,4,0.047619047619047616,0,5423264.851586489,,-0.36492890995260663,44029.48402948403,80164.38654110392,0,2949127.7380952374
Masugnsvägen 86,5795000.0,79.5,3.0,3.0,4797.0,72893.0,True,True,,,mariehäll,central,2024-09-17 07:17:05.119757,2024,9,4,0.03773584905660377,0,5423264.851586489,,-0.36492890995260663,69978.61724875268,80164.38654110392,0,4953546.547619048
Flottbrovägen 25,2495000.0,33.0,1.0,1.0,1869.0,75606.0,False,False,,,kungsholmen,stora essingen,2024-09-17 07:17:05.119757,2024,9,4,0.030303030303030304,0,5423264.851586489,,-0.36492890995260663,102559.572426767,85932.55620316403,0,3117817.4404761903
Grevgatan 23,4295000.0,32.0,1.0,3.0,2316.0,134219.0,False,False,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.03125,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,3827524.6428571423
Smedsbacksgatan 18,3195000.0,33.0,2.0,5.0,2431.0,96818.0,False,False,,,gärdet,central,2024-09-17 07:17:05.119757,2024,9,4,0.06060606060606061,0,5423264.851586489,,-0.36492890995260663,107664.52810394221,80164.38654110392,0,3342648.9285714272
"Karlbergsvägen 8, 1 tr",19500000.0,163.0,5.0,1.0,0.0,119632.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.03067484662576687,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,11335789.345238095
Eva bonniers gata 9,3495000.0,72.0,3.0,3.0,4160.0,48542.0,False,True,,,fruängen,central,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,49351.68417240131,80164.38654110392,0,3059426.8650793647
"Torsgatan 74, 3tr",4650000.0,52.0,2.0,3.0,4437.0,89423.0,True,False,,,vasastan,röda bergen,2024-09-17 07:17:05.119757,2024,9,4,0.038461538461538464,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,104339.25049309665,0,5566360.05952381
Rådmansgatan 75,3795000.0,35.0,1.5,6.0,3171.0,108429.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,4037887.0238095243
"Olof Palmes gata 12, 2tr",6390000.0,69.0,3.0,2.0,3321.0,92609.0,True,True,,,city,norrmalm,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,1,5423264.851586489,,-0.36492890995260663,121120.68965517242,118632.47863247863,0,7235440.595238094
"Kronobergsgatan 28, 2tr",6500000.0,65.0,2.0,2.0,4370.0,100000.0,True,True,,,kungsholmen,kungsholms strand,2024-09-17 07:17:05.119757,2024,9,4,0.03076923076923077,0,5423264.851586489,,-0.36492890995260663,102559.572426767,,0,6071686.428571429
Svarvargatan 7,8950000.0,93.0,3.0,1.0,5191.0,96237.0,True,False,,,kungsholmen,central,2024-09-17 07:17:05.119757,2024,9,4,0.03225806451612903,0,5423264.851586489,,-0.36492890995260663,102559.572426767,80164.38654110392,0,8446450.416666666
Skulptörvägen 14,4495000.0,79.0,3.0,1.0,5336.0,56899.0,True,True,,,johanneshov,central,2024-09-17 07:17:05.119757,2024,9,4,0.0379746835443038,0,5423264.851586489,,-0.36492890995260663,69946.8809588668,80164.38654110392,0,4650839.880952381
Dartanjangs Gata 46,2350000.0,53.0,2.0,1.0,3961.0,44340.0,True,False,,,bromma,annedal,2024-09-17 07:17:05.119757,2024,9,4,0.03773584905660377,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,57048.75962360992,0,2980275.8134920644
Alpvägen 8,3195000.0,62.0,2.5,2.0,4705.0,51532.0,True,True,,,bromma,mariehäll,2024-09-17 07:17:05.119757,2024,9,4,0.04032258064516129,0,5423264.851586489,,-0.36492890995260663,66144.2866365397,62210.02855103498,0,3518691.666666666
"Skogängsvägen 32, 1 tr (lgh 092)",3845000.0,91.0,4.0,1.0,5349.0,42253.0,True,True,,,spånga,bromstensstaden,2024-09-17 07:17:05.119757,2024,9,4,0.04395604395604396,0,5423264.851586489,,-0.36492890995260663,37284.32811480756,56666.666666666664,0,2507924.285714286
"Vittangigatan 51, 2,5 tr",2495000.0,70.0,3.0,3.0,5678.0,35643.0,False,False,,,vällingby  centrum,central,2024-09-17 07:17:05.119757,2024,9,4,0.04285714285714286,1,5423264.851586489,,-0.36492890995260663,,80164.38654110392,0,5463093.275613274
Nybrogatan 85,5950000.0,44.0,2.0,2.0,2144.0,135227.0,False,False,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.045454545454545456,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,5363625.476190478
"Åkare Engströms Väg 5, 2 tr (lgh 065)",2150000.0,43.0,2.0,3.0,2662.0,50000.0,True,False,,,spånga,bromstensstaden,2024-09-17 07:17:05.119757,2024,9,4,0.046511627906976744,0,5423264.851586489,,-0.36492890995260663,37284.32811480756,56666.666666666664,0,1676371.7922077922
"Roslagsgatan 41, 3tr",3650000.0,34.0,1.0,3.0,2521.0,107353.0,False,False,,,vasastan,sibirien,2024-09-17 07:17:05.119757,2024,9,4,0.029411764705882353,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,103615.0512214342,0,3690546.0714285728
Linnégatan 39 B,4995000.0,43.0,2.0,0.0,2180.0,116163.0,False,False,,,östermalm,central,2024-09-17 07:17:05.119757,2024,9,4,0.046511627906976744,0,5423264.851586489,,-0.36492890995260663,132935.65588339852,80164.38654110392,0,5325192.656926408
Roslagsgatan 47,16975000.0,144.0,4.0,6.0,7932.0,117882.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.027777777777777776,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,11649462.003968254
"Onsalagränd 15, egen ingång",3295000.0,95.0,4.0,1.0,5547.0,34684.0,True,True,,,östberga,älvsjö,2024-09-17 07:17:05.119757,2024,9,4,0.042105263157894736,0,5423264.851586489,,-0.36492890995260663,35272.988505747126,53560.924369747896,0,2765592.857142857
Heleneborgsgatan 25B,5575000.0,56.0,2.0,4.0,3325.0,99554.0,False,True,,,södermalm,hornstull,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,103268.90042472865,111211.51271753681,0,5442376.845238095
Perstorpsvägen 108,2195000.0,35.0,2.0,5.0,2328.0,62714.0,True,True,,,sköndal,central,2024-09-17 07:17:05.119757,2024,9,4,0.05714285714285714,0,5423264.851586489,,-0.36492890995260663,47274.36281859071,80164.38654110392,0,2313724.523809524
Borghöjdsvägen 3,4375000.0,96.0,4.0,1.0,7296.0,45573.0,True,True,,,bromsten,central,2024-09-17 07:17:05.119757,2024,9,4,0.041666666666666664,0,5423264.851586489,,-0.36492890995260663,44828.66043613707,80164.38654110392,0,3600467.7380952383
Borghöjdsvägen 3,2345000.0,46.0,2.0,1.0,3644.0,50978.0,True,False,,,bromsten,central,2024-09-17 07:17:05.119757,2024,9,4,0.043478260869565216,0,5423264.851586489,,-0.36492890995260663,44828.66043613707,80164.38654110392,0,2074753.0555555557
"Valsbergs gränd 8, vån 3",3650000.0,53.0,2.0,3.0,4331.0,68868.0,False,True,,,midsommarkransen,central,2024-09-17 07:17:05.119757,2024,9,4,0.03773584905660377,0,5423264.851586489,,-0.36492890995260663,77740.05639655684,80164.38654110392,0,3853418.333333335
Hagaesplanaden 73,6195000.0,67.0,3.0,1.0,5045.0,92463.0,True,False,,,hagastaden,central,2024-09-17 07:17:05.119757,2024,9,4,0.04477611940298507,0,5423264.851586489,,-0.36492890995260663,95456.05306799337,80164.38654110392,0,6032920.119047619
"Maltesholmsvägen 95, (1001)",1995000.0,54.0,2.0,1.0,3204.0,36944.0,True,False,,,hässelby gård,central,2024-09-17 07:17:05.119757,2024,9,4,0.037037037037037035,0,5423264.851586489,,-0.36492890995260663,27739.42093541203,80164.38654110392,0,1741391.0714285716
"Maltesholmsvägen 95, (1601)",1695000.0,68.0,3.0,6.0,4398.0,24926.0,True,True,,,hässelby strand,central,2024-09-17 07:17:05.119757,2024,9,4,0.04411764705882353,0,5423264.851586489,,-0.36492890995260663,38054.982817869415,80164.38654110392,0,2368095.4761904767
Fridhemsgatan 15,9000000.0,98.0,5.0,2.0,4959.0,91837.0,True,False,,,fridhemsplan,central,2024-09-17 07:17:05.119757,2024,9,4,0.05102040816326531,0,5423264.851586489,,-0.36492890995260663,99609.375,80164.38654110392,0,8548455.714285715
Sonja Kovalevskys Gata 11,13495000.0,112.0,4.0,10.0,6160.0,120491.0,True,True,,,vasastan,hagastaden,2024-09-17 07:17:05.119757,2024,9,4,0.03571428571428571,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,109671.33940182054,0,11878161.6468254
Sulitelmavägen 4,3100000.0,64.0,2.0,1.0,4356.0,48438.0,True,False,,,traneberg,central,2024-09-17 07:17:05.119757,2024,9,4,0.03125,0,5423264.851586489,,-0.36492890995260663,60971.83098591549,80164.38654110392,0,3512790.8134920634
"Fredrika bremers gata 5, 3 tr",2800000.0,77.5,3.0,3.0,6390.0,36129.0,False,True,,,fruängen,hägersten,2024-09-17 07:17:05.119757,2024,9,4,0.03870967741935484,0,5423264.851586489,,-0.36492890995260663,49351.68417240131,74847.56097560975,0,2969568.115079365
Majstångsvägen 11,9750000.0,125.0,4.0,2.0,7505.0,78000.0,False,True,,,midsommarkransen,central,2024-09-17 07:17:05.119757,2024,9,4,0.032,0,5423264.851586489,,-0.36492890995260663,77740.05639655684,80164.38654110392,0,7573099.5634920625
"Rådmansgatan 46, 4tr",2290000.0,22.0,1.0,4.0,2506.0,104091.0,True,False,,,vasastan,central,2024-09-17 07:17:05.119757,2024,9,4,0.045454545454545456,0,5423264.851586489,,-0.36492890995260663,116669.36752942408,80164.38654110392,0,2709068.492063492
