link,exact_address,size,rooms,monthly_fee,location,has_elevator,has_balcony,listing_price,end_price,price_change_percentage,price_per_sqm,date
https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-tideliusgatan-61-5tr-617400072951649602,Tideliusgatan 61 5tr,64.0,2.0,2994,"Södermalm, Stockholms kommun",True,True,5495000,5495000,0,85859,2024-09-14
https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-sveavagen-137-7460149198301108998,Sveavägen 137,80.0,3.0,2911,"Vasastan, Stockholms kommun",True,True,8364485,8950000,7,111875,2024-09-14
"https://www.hemnet.se/salda/lagenhet-3rum-karrtorp-stockholms-kommun-arkovagen-3,-2tr-7250648728858145436",Arkövägen 3,69.0,3.0,5869,"Kärrtorp, Stockholms kommun",False,True,3500000,4025000,15,58333,2024-09-14
https://www.hemnet.se/salda/lagenhet-3rum-farsta-stockholms-kommun-molkomsbacken-15-6027322243687331782,Molkomsbacken 15,79.0,3.0,4410,"Farsta, Stockholms kommun",False,True,2895000,2895000,0,36646,2024-09-14
"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-slipgatan-2,-3tr-5250380590636039543",Slipgatan 2,35.0,1.0,2620,"Södermalm, Stockholms kommun",True,False,3247863,3800000,17,108571,2024-09-14
"https://www.hemnet.se/salda/lagenhet-3rum-norra-djurgardsstaden-stockholms-kommun-fagningsgatan-5,-4tr-4048083590437542316",Fagningsgatan 5,79.0,3.0,5561,"Norra Djurgårdsstaden, Stockholms kommun",True,True,7864077,8100000,3,102532,2024-09-14
https://www.hemnet.se/salda/villa-5rum-tallkrogen-stockholms-kommun-morkovagen-68-8627907305208406460,Mörkövägen 68,93.0,5.0,491,"Tallkrogen, Stockholms kommun",False,False,9490740,10250000,8,,2024-09-13
https://www.hemnet.se/salda/lagenhet-4rum-telefonplan-stockholms-kommun-mobilgatan-5-4921070795681957843,Mobilgatan 5,103.0,4.0,6717,"Telefonplan, Stockholms kommun",True,True,5911764,6030000,2,58544,2024-09-13
"https://www.hemnet.se/salda/lagenhet-1,5rum-sodermalm-stockholms-kommun-bjurholmsgatan-37,-2-tr-9152552630361672794",Bjurholmsgatan 37,39.0,1.5,2296,"Södermalm, Stockholms kommun",True,False,3451327,3900000,13,100000,2024-09-13
https://www.hemnet.se/salda/lagenhet-2rum-fruangen-stockholms-kommun-doktor-widerstroms-gata-52-6168393336752574098,Doktor Widerströms gata 52,58.0,2.0,3615,"Fruängen, Stockholms kommun",False,True,2388392,2675000,12,46121,2024-09-13
