link,exact_address,price,size,rooms,floor,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,latitude,longitude
https://www.hemnet.se/bostad/lagenhet-4rum-bromsten-stockholms-kommun-borghojdsvagen-3-21075595,Borghöjdsvägen 3,4375000,96.0,4.0,1,7296,45573,"Bromsten, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-bromsten-stockholms-kommun-borghojdsvagen-3-20488455,Borghöjdsvägen 3,2345000,46.0,2.0,1,3644,50978,"Bromsten, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-3rum-hagastaden-stockholms-kommun-hagaesplanaden-73-18189518,Hagaesplanaden 73,6195000,67.0,3.0,1,5045,92463,"Hagastaden, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-hasselby-gard-stockholms-kommun-maltesholmsvagen-95,-1001-19843815",Maltesholmsvägen 95,1995000,54.0,2.0,1,3204,36944,"Hässelby Gård, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-3rum-hasselby-strand-stockholms-kommun-maltesholmsvagen-95,-1601-21043315",Maltesholmsvägen 95,1695000,68.0,3.0,6,4398,24926,"Hässelby Strand, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-5rum-fridhemsplan-stockholms-kommun-fridhemsgatan-15-21284217,Fridhemsgatan 15,9000000,98.0,5.0,2,4959,91837,"Fridhemsplan, Stockholms kommun",True,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-vasastan-hagastaden-stockholms-kommun-sonja-kovalevskys-gata-11-21294514,Sonja Kovalevskys Gata 11,13495000,112.0,4.0,10,6160,120491,"Vasastan/Hagastaden, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-traneberg-stockholms-kommun-sulitelmavagen-4-21336697,Sulitelmavägen 4,3100000,64.0,2.0,1,4356,48438,"Traneberg, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-3rum-fruangen-hagersten-stockholms-kommun-fredrika-bremers-gata-5,-3-tr-21343653",Fredrika bremers gata 5,2800000,77.5,3.0,3,6390,36129,"Fruängen/Hägersten, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-4rum-midsommarkransen-stockholms-kommun-majstangsvagen-11-21347799,Majstångsvägen 11,9750000,125.0,4.0,2,7505,78000,"Midsommarkransen, Stockholms kommun",False,True,,
"https://www.hemnet.se/bostad/lagenhet-1rum-vasastan-stockholms-kommun-radmansgatan-46,-4tr-21348232",Rådmansgatan 46,2290000,22.0,1.0,4,2506,104091,"Vasastan, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-2rum-stadshagen-stockholms-kommun-sankt-goransgatan-153,-7-tr-21349360",Sankt Göransgatan 153,3295000,30.0,2.0,7,1857,109833,"Stadshagen, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-1rum-orby-stockholms-kommun-malmkopingsvagen-87-21360184,Malmköpingsvägen 87,1650000,22.0,1.0,1,2706,75000,"Örby, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-1rum-vallingby-centrum-stockholms-kommun-morsilsgatan-26-21364130,Mörsilsgatan 26,1795000,39.0,1.0,1,2437,46026,"Vällingby  Centrum, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-2rum-arsta-stockholms-kommun-ymsenvagen-8-21377844,Ymsenvägen 8,3700000,53.0,2.0,1,2740,69811,"Årsta, Stockholms kommun",True,False,,
"https://www.hemnet.se/bostad/lagenhet-1,5rum-kungsholmen-stockholms-kommun-gyllenborgsgatan-18,-3tr-21380676",Gyllenborgsgatan 18,2995000,34.5,1.5,3,2128,86812,"Kungsholmen, Stockholms kommun",False,False,,
https://www.hemnet.se/bostad/lagenhet-4rum-vasastan-hagastaden-stockholms-kommun-torsplan-10-21384740,Torsplan 10,17250000,105.0,4.0,18,8601,164286,"Vasastan - Hagastaden, Stockholms kommun",True,True,,
"https://www.hemnet.se/bostad/lagenhet-2rum-farsta-stockholms-kommun-klockelundsvagen-10,-van-3-4-21386129",Klockelundsvägen 10,2495000,40.0,2.0,3,2776,62375,"Farsta, Stockholms kommun",True,True,,
https://www.hemnet.se/bostad/lagenhet-4rum-spanga-bromsten-stockholms-kommun-erik-tegels-vag-27-21386515,Erik Tegels väg 27,2700000,85.0,4.0,1,5958,31765,"Spånga - Bromsten, Stockholms kommun",False,True,,
https://www.hemnet.se/bostad/lagenhet-2rum-varberg-stockholms-kommun-varbergsvagen-173-21387096,Vårbergsvägen 173,2195000,68.0,2.0,6,3879,32279,"Vårberg, Stockholms kommun",True,False,,
