Datum;Grupp;Serie;Värde
2016-02-17;Riksbankens styrräntor;Styrränta;-0,50
2016-02-18;Riksbankens styrräntor;Styrränta;-0,50
2016-02-19;Riksbankens styrräntor;Styrränta;-0,50
2016-02-22;Riksbankens styrräntor;Styrränta;-0,50
2016-02-23;Riksbankens styrräntor;Styrränta;-0,50
2016-02-24;Riksbankens styrräntor;Styrränta;-0,50
2016-02-25;Riksbankens styrräntor;Styrränta;-0,50
2016-02-26;Riksbankens styrräntor;Styrränta;-0,50
2016-02-29;Riksbankens styrräntor;Styrränta;-0,50
2016-03-01;Riksbankens styrräntor;Styrränta;-0,50
2016-03-02;Riksbankens styrräntor;Styrränta;-0,50
2016-03-03;Riksbankens styrräntor;Styrränta;-0,50
2016-03-04;Riksbankens styrräntor;Styrränta;-0,50
2016-03-07;Riksbankens styrräntor;Styrränta;-0,50
2016-03-08;Riksbankens styrräntor;Styrränta;-0,50
2016-03-09;Riksbankens styrräntor;Styrränta;-0,50
2016-03-10;Riksbankens styrräntor;Styrränta;-0,50
2016-03-11;Riksbankens styrräntor;Styrränta;-0,50
2016-03-14;Riksbankens styrräntor;Styrränta;-0,50
2016-03-15;Riksbankens styrräntor;Styrränta;-0,50
2016-03-16;Riksbankens styrräntor;Styrränta;-0,50
2016-03-17;Riksbankens styrräntor;Styrränta;-0,50
2016-03-18;Riksbankens styrräntor;Styrränta;-0,50
2016-03-21;Riksbankens styrräntor;Styrränta;-0,50
2016-03-22;Riksbankens styrräntor;Styrränta;-0,50
2016-03-23;Riksbankens styrräntor;Styrränta;-0,50
2016-03-24;Riksbankens styrräntor;Styrränta;-0,50
2016-03-29;Riksbankens styrräntor;Styrränta;-0,50
2016-03-30;Riksbankens styrräntor;Styrränta;-0,50
2016-03-31;Riksbankens styrräntor;Styrränta;-0,50
2016-04-01;Riksbankens styrräntor;Styrränta;-0,50
2016-04-04;Riksbankens styrräntor;Styrränta;-0,50
2016-04-05;Riksbankens styrräntor;Styrränta;-0,50
2016-04-06;Riksbankens styrräntor;Styrränta;-0,50
2016-04-07;Riksbankens styrräntor;Styrränta;-0,50
2016-04-08;Riksbankens styrräntor;Styrränta;-0,50
2016-04-11;Riksbankens styrräntor;Styrränta;-0,50
2016-04-12;Riksbankens styrräntor;Styrränta;-0,50
2016-04-13;Riksbankens styrräntor;Styrränta;-0,50
2016-04-14;Riksbankens styrräntor;Styrränta;-0,50
2016-04-15;Riksbankens styrräntor;Styrränta;-0,50
2016-04-18;Riksbankens styrräntor;Styrränta;-0,50
2016-04-19;Riksbankens styrräntor;Styrränta;-0,50
2016-04-20;Riksbankens styrräntor;Styrränta;-0,50
2016-04-21;Riksbankens styrräntor;Styrränta;-0,50
2016-04-22;Riksbankens styrräntor;Styrränta;-0,50
2016-04-25;Riksbankens styrräntor;Styrränta;-0,50
2016-04-26;Riksbankens styrräntor;Styrränta;-0,50
2016-04-27;Riksbankens styrräntor;Styrränta;-0,50
2016-04-28;Riksbankens styrräntor;Styrränta;-0,50
2016-04-29;Riksbankens styrräntor;Styrränta;-0,50
2016-05-02;Riksbankens styrräntor;Styrränta;-0,50
2016-05-03;Riksbankens styrräntor;Styrränta;-0,50
2016-05-04;Riksbankens styrräntor;Styrränta;-0,50
2016-05-06;Riksbankens styrräntor;Styrränta;-0,50
2016-05-09;Riksbankens styrräntor;Styrränta;-0,50
2016-05-10;Riksbankens styrräntor;Styrränta;-0,50
2016-05-11;Riksbankens styrräntor;Styrränta;-0,50
2016-05-12;Riksbankens styrräntor;Styrränta;-0,50
2016-05-13;Riksbankens styrräntor;Styrränta;-0,50
2016-05-16;Riksbankens styrräntor;Styrränta;-0,50
2016-05-17;Riksbankens styrräntor;Styrränta;-0,50
2016-05-18;Riksbankens styrräntor;Styrränta;-0,50
2016-05-19;Riksbankens styrräntor;Styrränta;-0,50
2016-05-20;Riksbankens styrräntor;Styrränta;-0,50
2016-05-23;Riksbankens styrräntor;Styrränta;-0,50
2016-05-24;Riksbankens styrräntor;Styrränta;-0,50
2016-05-25;Riksbankens styrräntor;Styrränta;-0,50
2016-05-26;Riksbankens styrräntor;Styrränta;-0,50
2016-05-27;Riksbankens styrräntor;Styrränta;-0,50
2016-05-30;Riksbankens styrräntor;Styrränta;-0,50
2016-05-31;Riksbankens styrräntor;Styrränta;-0,50
2016-06-01;Riksbankens styrräntor;Styrränta;-0,50
2016-06-02;Riksbankens styrräntor;Styrränta;-0,50
2016-06-03;Riksbankens styrräntor;Styrränta;-0,50
2016-06-07;Riksbankens styrräntor;Styrränta;-0,50
2016-06-08;Riksbankens styrräntor;Styrränta;-0,50
