exact_address,price,size,rooms,monthly_fee,price_per_sqm,location,has_elevator,has_balcony,ending_price,price_change_percentage,ending_price_per_sqm
Knypplerskevägen 21,,42.5,2.0,4286,,"Bromma - Åkeshov, Stockholms kommun",False,False,2200000,+10 %,51765
"Ahlsellvägen 10, 3 tr",,44.2,2.0,3723,,"Hjorthagen, Stockholms kommun",False,False,3500000,+4 %,79186
Tomtebogatan 21,,76.4,2.0,5101,,"Vasastan, Stockholms kommun",True,True,10050000,-2 %,131545
"Ekshäradsgatan 83, 4tr",,108.5,5.0,6383,,"Farsta, Stockholms kommun",True,True,4150000,+4 %,38249
Jönåkersvägen 2 D,,39.0,1.0,2809,,"Svedmyra, Stockholms kommun",True,False,2475000,+8 %,63462
Astrakangatan 4,,88.0,4.0,6620,,"Hässelby Gård, Stockholms kommun",True,True,2050000,+3 %,23295
Dellensvägen 15,,58.0,2.0,4197,,"Årsta, Stockholms kommun",False,True,3250000,+12 %,56034
Lilla Västerbron 14,,65.5,2.0,3941,,"Kungsholmen Fridhemsplan, Stockholms kommun",True,True,5850000,+6 %,89313
Creutzgatan 1,,40.0,2.0,2998,,"Kungsholmen, Stockholms kommun",False,False,3950000,+7 %,98750
Kungsholms strand 109,,59.0,2.0,3904,,"Kungsholmen, Stockholms kommun",True,False,5150000,+3 %,87288
Tyska Bottens väg 65,,91.0,3.0,5805,,"Bromma - Nockebyhov, Stockholms kommun",True,True,8500000,+8 %,93407
Brännkyrkagatan 55,,68.0,3.0,5537,,"Södermalm, Stockholms kommun",True,True,6700000,+5 %,98529
Fru Kristinas Gränd 3,,73.0,3.0,5506,,"Älvsjö, Stockholms kommun",True,True,3650000,+4 %,50000
Kratsbodavägen 46B,,31.0,1.0,1888,,"Bromma - Mariehäll, Stockholms kommun",True,False,2275000,+4 %,73387
Wahlbergsgatan 7,,38.0,2.0,3222,,"Hammarbyhöjden, Stockholms kommun",False,False,2625000,+10 %,69079
Båstadsvägen 4,,56.0,2.0,4261,,"Björkhagen, Stockholms kommun",False,True,3800000,+9 %,67857
Harry Martinsons gata 12,,98.0,4.0,4820,,"Hornsbergs Strand, Stockholms kommun",True,True,8525000,-3 %,86990
Götgatan 75A,,134.0,5.0,3229,,"Södermalm - Katarina Sofia, Stockholms kommun",True,True,12000000,+3 %,89552
"Sköntorpsvägen 96, 2tr",,43.0,2.0,2316,,"Årsta, Stockholms kommun",False,True,2750000,+10 %,63953
Blekingegatan 20A,,79.0,3.0,4039,,"Södermalm, Stockholms kommun",True,True,8000000,+10 %,101266
